project,turn_index,phase,role,interlocutor,timestamp,py_files,code_lines,structural_smells,code_smells,architectural_smells,total_smells,dpy_implementation_smells,dpy_design_smells,dpy_architecture_smells,dpy_total_smells,tokens_prompt,tokens_completion,tokens_reasoning,tokens_total,cost_usd,refactored_py_files,refactored_structural_smells,refactored_code_smells,refactored_architectural_smells,refactored_total_smells,delta_ref_vs_baseline_structural,delta_ref_vs_baseline_code,delta_ref_vs_baseline_architectural,delta_ref_vs_baseline_total,delta_ref_vs_postreview_structural,delta_ref_vs_postreview_code,delta_ref_vs_postreview_architectural,delta_ref_vs_postreview_total,refactored_dpy_implementation_smells,refactored_dpy_design_smells,refactored_dpy_architecture_smells,refactored_dpy_total_smells,delta_ref_vs_baseline_dpy_implementation,delta_ref_vs_baseline_dpy_design,delta_ref_vs_baseline_dpy_architecture,delta_ref_vs_baseline_dpy_total,delta_ref_vs_postreview_dpy_implementation,delta_ref_vs_postreview_dpy_design,delta_ref_vs_postreview_dpy_architecture,delta_ref_vs_postreview_dpy_total
2048_DefaultOrganization_20250908205825,0,Coding,Programmer,Chief Technology Officer,2025-08-09 21:00:05,2,260,3,6,2,11,16,0,0,16,691,8576,3136,9267,0.086624,3,3,2,3,8,0,-4,1,-3,0,-7,-2,-9,43,1,0,44,27,1,0,28,21,1,0,22
2048_DefaultOrganization_20250908205825,1,CodeReviewModification,Programmer,Code Reviewer,2025-08-09 21:02:59,3,260,3,9,5,17,22,0,0,22,5790,7825,2880,13615,0.085487,3,3,2,3,8,0,-4,1,-3,0,-7,-2,-9,43,1,0,44,27,1,0,28,21,1,0,22
2048_DefaultOrganization_20250908205825,2,CodeReviewModification,Programmer,Code Reviewer,2025-08-09 21:05:51,3,260,3,9,5,17,22,0,0,22,5843,7293,2432,13136,0.080234,3,3,2,3,8,0,-4,1,-3,0,-7,-2,-9,43,1,0,44,27,1,0,28,21,1,0,22
2048_DefaultOrganization_20250908205825,3,CodeReviewModification,Programmer,Code Reviewer,2025-08-09 21:09:22,3,260,3,9,5,17,22,0,0,22,5399,7486,2624,12885,0.081609,3,3,2,3,8,0,-4,1,-3,0,-7,-2,-9,43,1,0,44,27,1,0,28,21,1,0,22
2048_DefaultOrganization_20250908205825,4,EnvironmentDoc,Programmer,Chief Technology Officer,2025-08-09 21:09:41,3,0,3,9,5,17,22,0,0,22,5330,600,576,5930,0.012663,3,3,2,3,8,0,-4,1,-3,0,-7,-2,-9,43,1,0,44,27,1,0,28,21,1,0,22
BudgetTracker_DefaultOrganization_20250909155642,0,Coding,Programmer,Chief Technology Officer,2025-09-09 15:59:09,5,705,13,3,7,23,17,1,0,18,558,10159,2432,10717,0.102288,5,13,2,5,20,0,-1,-2,-3,0,-1,-2,-3,54,2,0,56,37,1,0,38,34,1,0,35
BudgetTracker_DefaultOrganization_20250909155642,1,CodeComplete,Programmer,Chief Technology Officer,2025-09-09 16:02:13,5,705,13,3,7,23,17,1,0,18,7919,9065,1536,16984,0.100549,5,13,2,5,20,0,-1,-2,-3,0,-1,-2,-3,54,2,0,56,37,1,0,38,34,1,0,35
BudgetTracker_DefaultOrganization_20250909155642,2,CodeComplete,Programmer,Chief Technology Officer,2025-09-09 16:04:46,5,705,13,3,7,23,17,1,0,18,7919,9004,1472,16923,0.099939,5,13,2,5,20,0,-1,-2,-3,0,-1,-2,-3,54,2,0,56,37,1,0,38,34,1,0,35
BudgetTracker_DefaultOrganization_20250909155642,3,CodeComplete,Programmer,Chief Technology Officer,2025-09-09 16:07:35,5,705,13,3,7,23,17,1,0,18,7915,8681,1152,16596,0.096704,5,13,2,5,20,0,-1,-2,-3,0,-1,-2,-3,54,2,0,56,37,1,0,38,34,1,0,35
BudgetTracker_DefaultOrganization_20250909155642,4,CodeReviewModification,Programmer,Code Reviewer,2025-09-09 16:11:36,5,706,13,3,7,23,18,1,0,19,8412,9194,1600,17606,0.102455,5,13,2,5,20,0,-1,-2,-3,0,-1,-2,-3,54,2,0,56,37,1,0,38,34,1,0,35
BudgetTracker_DefaultOrganization_20250909155642,5,CodeReviewModification,Programmer,Code Reviewer,2025-09-09 16:15:09,5,733,13,3,7,23,20,1,0,21,8570,8295,576,16865,0.093662,5,13,2,5,20,0,-1,-2,-3,0,-1,-2,-3,54,2,0,56,37,1,0,38,34,1,0,35
BudgetTracker_DefaultOrganization_20250909155642,6,CodeReviewModification,Programmer,Code Reviewer,2025-09-09 16:19:36,5,734,13,3,7,23,20,1,0,21,8277,8828,1088,17105,0.098626,5,13,2,5,20,0,-1,-2,-3,0,-1,-2,-3,54,2,0,56,37,1,0,38,34,1,0,35
CandyCrush_DefaultOrganization_20250923221010,0,Coding,Programmer,Chief Technology Officer,2025-23-09 22:12:50,0,0,0,0,0,0,0,0,0,0,673,10852,4096,11525,0.109361,,,,,,,,,,,,,,,,,,,,,,,,,
CandyCrush_DefaultOrganization_20250923221010,1,CodeReviewModification,Programmer,Code Reviewer,2025-23-09 22:17:51,0,0,0,0,0,0,0,0,0,0,6998,7946,1728,14944,0.088208,,,,,,,,,,,,,,,,,,,,,,,,,
CandyCrush_DefaultOrganization_20250923221010,2,CodeReviewModification,Programmer,Code Reviewer,2025-23-09 22:22:38,0,0,0,0,0,0,0,0,0,0,6986,8657,2304,15643,0.095303,,,,,,,,,,,,,,,,,,,,,,,,,
CandyCrush_DefaultOrganization_20250923221010,3,CodeReviewModification,Programmer,Code Reviewer,2025-23-09 22:29:25,0,0,0,0,0,0,0,0,0,0,7549,8267,1664,15816,0.092106,,,,,,,,,,,,,,,,,,,,,,,,,
Checkers_DefaultOrganization_20250911143857,0,Coding,Programmer,Chief Technology Officer,2025-11-09 14:42:17,7,515,17,2,7,26,42,0,0,42,649,10454,4288,11103,0.105351,7,12,4,6,22,-5,2,-1,-4,-5,2,-1,-4,92,3,0,95,50,3,0,53,51,3,0,54
Checkers_DefaultOrganization_20250911143857,1,CodeComplete,Programmer,Chief Technology Officer,2025-11-09 14:44:19,7,528,17,2,7,26,41,0,0,41,5980,6992,1344,12972,0.077395,7,12,4,6,22,-5,2,-1,-4,-5,2,-1,-4,92,3,0,95,50,3,0,53,51,3,0,54
Checkers_DefaultOrganization_20250911143857,2,CodeComplete,Programmer,Chief Technology Officer,2025-11-09 14:47:08,7,528,17,2,7,26,41,0,0,41,6131,7183,1536,13314,0.079494,7,12,4,6,22,-5,2,-1,-4,-5,2,-1,-4,92,3,0,95,50,3,0,53,51,3,0,54
Checkers_DefaultOrganization_20250911143857,3,CodeComplete,Programmer,Chief Technology Officer,2025-11-09 14:49:54,7,528,17,2,7,26,41,0,0,41,6124,6834,1216,12958,0.075995,7,12,4,6,22,-5,2,-1,-4,-5,2,-1,-4,92,3,0,95,50,3,0,53,51,3,0,54
Checkers_DefaultOrganization_20250911143857,4,CodeReviewModification,Programmer,Code Reviewer,2025-11-09 14:57:03,7,528,17,2,7,26,41,0,0,41,6114,8828,3200,14942,0.095922,7,12,4,6,22,-5,2,-1,-4,-5,2,-1,-4,92,3,0,95,50,3,0,53,51,3,0,54
Checkers_DefaultOrganization_20250911143857,5,CodeReviewModification,Programmer,Code Reviewer,2025-11-09 15:03:28,7,529,17,2,7,26,41,0,0,41,6124,8171,2496,14295,0.089365,7,12,4,6,22,-5,2,-1,-4,-5,2,-1,-4,92,3,0,95,50,3,0,53,51,3,0,54
Checkers_DefaultOrganization_20250911143857,6,CodeReviewModification,Programmer,Code Reviewer,2025-11-09 15:07:36,7,531,17,2,7,26,41,0,0,41,6550,7913,2240,14463,0.087317,7,12,4,6,22,-5,2,-1,-4,-5,2,-1,-4,92,3,0,95,50,3,0,53,51,3,0,54
Checkers_DefaultOrganization_20250911143857,7,TestModification,Programmer,Software Test Engineer,2025-11-09 15:09:42,7,654,17,4,8,29,47,0,0,47,6186,4524,2304,10710,0.052973,7,12,4,6,22,-5,2,-1,-4,-5,2,-1,-4,92,3,0,95,50,3,0,53,51,3,0,54
Checkers_DefaultOrganization_20250911143857,8,EnvironmentDoc,Programmer,Chief Technology Officer,2025-11-09 15:10:05,7,0,17,4,8,29,47,0,0,47,7247,853,832,8100,0.017589,7,12,4,6,22,-5,2,-1,-4,-5,2,-1,-4,92,3,0,95,50,3,0,53,51,3,0,54
Checkers_DefaultOrganization_20250911143857,9,Reflection,Chief Executive Officer,Counselor,2025-11-09 15:10:19,7,654,17,4,8,29,47,0,0,47,7544,661,640,8205,0.01604,7,12,4,6,22,-5,2,-1,-4,-5,2,-1,-4,92,3,0,95,50,3,0,53,51,3,0,54
Chess_DefaultOrganization_20250908153724,0,Coding,Programmer,Chief Technology Officer,2025-08-09 15:43:16,2,729,4,3,3,10,12,0,0,12,719,15524,5760,16243,0.156139,4,8,6,6,20,4,3,3,10,4,3,3,10,51,1,0,52,39,1,0,40,39,1,0,40
Chess_DefaultOrganization_20250908153724,1,CodeReviewModification,Programmer,Code Reviewer,2025-08-09 15:50:30,2,764,4,5,3,12,15,0,0,15,9224,12644,3200,21868,0.13797,4,8,6,6,20,4,3,3,10,4,3,3,10,51,1,0,52,39,1,0,40,39,1,0,40
Chess_DefaultOrganization_20250908153724,2,CodeReviewModification,Programmer,Code Reviewer,2025-08-09 15:55:28,2,764,4,3,3,10,12,0,0,12,9823,11153,1984,20976,0.123809,4,8,6,6,20,4,3,3,10,4,3,3,10,51,1,0,52,39,1,0,40,39,1,0,40
Chess_DefaultOrganization_20250908153724,3,CodeReviewModification,Programmer,Code Reviewer,2025-08-09 16:01:25,2,772,4,3,3,10,12,0,0,12,9874,12062,2816,21936,0.132963,4,8,6,6,20,4,3,3,10,4,3,3,10,51,1,0,52,39,1,0,40,39,1,0,40
Chess_DefaultOrganization_20250908153724,4,TestModification,Programmer,Software Test Engineer,2025-08-09 16:05:11,4,684,14,8,5,27,99,3,0,102,9150,10506,3392,19656,0.116498,4,8,6,6,20,4,3,3,10,4,3,3,10,51,1,0,52,39,1,0,40,39,1,0,40
Chess_DefaultOrganization_20250908153724,5,EnvironmentDoc,Programmer,Chief Technology Officer,2025-08-09 16:05:42,4,0,14,8,5,27,99,3,0,102,8255,805,768,9060,0.018369,4,8,6,6,20,4,3,3,10,4,3,3,10,51,1,0,52,39,1,0,40,39,1,0,40
Chess_DefaultOrganization_20250908153724,6,Reflection,Chief Executive Officer,Counselor,2025-08-09 16:06:05,4,684,14,8,5,27,99,3,0,102,8603,945,896,9548,0.020204,4,8,6,6,20,4,3,3,10,4,3,3,10,51,1,0,52,39,1,0,40,39,1,0,40
ConnectFour_DefaultOrganization_20250915215741,0,Coding,Programmer,Chief Technology Officer,2025-15-09 21:59:43,3,339,4,2,1,7,26,0,0,26,695,6629,3008,7324,0.067159,3,5,3,1,9,1,1,0,2,0,1,0,1,31,1,0,32,5,1,0,6,3,1,0,4
ConnectFour_DefaultOrganization_20250915215741,1,CodeReviewModification,Programmer,Code Reviewer,2025-15-09 22:01:44,3,357,5,2,1,8,28,0,0,28,4158,4652,1216,8810,0.051718,3,5,3,1,9,1,1,0,2,0,1,0,1,31,1,0,32,5,1,0,6,3,1,0,4
ConnectFour_DefaultOrganization_20250915215741,2,CodeReviewModification,Programmer,Code Reviewer,2025-15-09 22:04:23,3,362,5,2,1,8,28,0,0,28,4264,5137,1664,9401,0.0567,3,5,3,1,9,1,1,0,2,0,1,0,1,31,1,0,32,5,1,0,6,3,1,0,4
ConnectFour_DefaultOrganization_20250915215741,3,CodeReviewModification,Programmer,Code Reviewer,2025-15-09 22:07:00,3,362,5,2,1,8,28,0,0,28,4014,4560,1088,8574,0.050618,3,5,3,1,9,1,1,0,2,0,1,0,1,31,1,0,32,5,1,0,6,3,1,0,4
ConnectFour_DefaultOrganization_20250915215741,4,Reflection,Chief Executive Officer,Counselor,2025-15-09 22:07:50,3,362,5,2,1,8,28,0,0,28,4298,702,640,5000,0.012393,3,5,3,1,9,1,1,0,2,0,1,0,1,31,1,0,32,5,1,0,6,3,1,0,4
ConnectionsNYT_DefaultOrganization_20250915165955,0,Coding,Programmer,Chief Technology Officer,2025-15-09 17:04:14,4,480,7,4,4,15,26,0,0,26,771,11494,5376,12265,0.115904,5,0,9,4,13,-7,5,0,-2,0,-8,-1,-9,38,0,0,38,12,0,0,12,9,0,0,9
ConnectionsNYT_DefaultOrganization_20250915165955,1,CodeReviewModification,Programmer,Code Reviewer,2025-15-09 17:08:04,5,200,0,12,4,16,24,0,0,24,6710,8727,3968,15437,0.095658,5,0,9,4,13,-7,5,0,-2,0,-8,-1,-9,38,0,0,38,12,0,0,12,9,0,0,9
ConnectionsNYT_DefaultOrganization_20250915165955,2,CodeReviewComment,Code Reviewer,Programmer,2025-15-09 17:10:03,5,0,0,10,4,14,19,0,0,19,3206,5002,2944,8208,0.054028,5,0,9,4,13,-7,5,0,-2,0,-8,-1,-9,38,0,0,38,12,0,0,12,9,0,0,9
ConnectionsNYT_DefaultOrganization_20250915165955,3,CodeReviewModification,Programmer,Code Reviewer,2025-15-09 17:12:43,5,399,0,10,4,14,19,0,0,19,5273,7816,3264,13089,0.084751,5,0,9,4,13,-7,5,0,-2,0,-8,-1,-9,38,0,0,38,12,0,0,12,9,0,0,9
ConnectionsNYT_DefaultOrganization_20250915165955,4,CodeReviewModification,Programmer,Code Reviewer,2025-15-09 17:16:06,5,399,0,17,5,22,29,0,0,29,5476,6052,1600,11528,0.067365,5,0,9,4,13,-7,5,0,-2,0,-8,-1,-9,38,0,0,38,12,0,0,12,9,0,0,9
ConnectionsNYT_DefaultOrganization_20250915165955,5,TestModification,Programmer,Software Test Engineer,2025-15-09 17:17:39,5,478,0,10,5,15,20,0,0,20,5026,4768,1984,9794,0.053962,5,0,9,4,13,-7,5,0,-2,0,-8,-1,-9,38,0,0,38,12,0,0,12,9,0,0,9
ConnectionsNYT_DefaultOrganization_20250915165955,6,Reflection,Chief Executive Officer,Counselor,2025-15-09 17:18:08,5,478,0,10,5,15,20,0,0,20,6213,984,960,7197,0.017606,5,0,9,4,13,-7,5,0,-2,0,-8,-1,-9,38,0,0,38,12,0,0,12,9,0,0,9
DetectPalindromes_DefaultOrganization_20250911160644,0,Coding,Programmer,Chief Technology Officer,2025-11-09 16:08:52,5,295,5,2,3,10,17,0,0,17,566,8685,3456,9251,0.087558,5,0,2,1,3,-5,0,-2,-7,-4,-3,-3,-10,32,0,0,32,15,0,0,15,10,0,0,10
DetectPalindromes_DefaultOrganization_20250911160644,1,CodeReviewComment,Code Reviewer,Programmer,2025-11-09 16:10:41,5,0,4,3,2,9,15,0,0,15,3529,4901,3520,8430,0.053421,5,0,2,1,3,-5,0,-2,-7,-4,-3,-3,-10,32,0,0,32,15,0,0,15,10,0,0,10
DetectPalindromes_DefaultOrganization_20250911160644,2,CodeReviewModification,Programmer,Code Reviewer,2025-11-09 16:12:42,5,425,4,3,2,9,15,0,0,15,4920,5830,1536,10750,0.06445,5,0,2,1,3,-5,0,-2,-7,-4,-3,-3,-10,32,0,0,32,15,0,0,15,10,0,0,10
DetectPalindromes_DefaultOrganization_20250911160644,3,CodeReviewModification,Programmer,Code Reviewer,2025-11-09 16:16:03,5,436,4,3,3,10,16,0,0,16,5014,5452,1088,10466,0.060788,5,0,2,1,3,-5,0,-2,-7,-4,-3,-3,-10,32,0,0,32,15,0,0,15,10,0,0,10
DetectPalindromes_DefaultOrganization_20250911160644,4,CodeReviewModification,Programmer,Code Reviewer,2025-11-09 16:21:21,5,486,4,5,4,13,22,0,0,22,5159,7613,2752,12772,0.082579,5,0,2,1,3,-5,0,-2,-7,-4,-3,-3,-10,32,0,0,32,15,0,0,15,10,0,0,10
DetectPalindromes_DefaultOrganization_20250911160644,5,EnvironmentDoc,Programmer,Chief Technology Officer,2025-11-09 16:21:38,5,0,4,5,4,13,22,0,0,22,5204,960,896,6164,0.016105,5,0,2,1,3,-5,0,-2,-7,-4,-3,-3,-10,32,0,0,32,15,0,0,15,10,0,0,10
DetectPalindromes_DefaultOrganization_20250911160644,6,Reflection,Chief Executive Officer,Counselor,2025-11-09 16:21:54,5,486,4,5,4,13,22,0,0,22,5503,820,768,6323,0.015079,5,0,2,1,3,-5,0,-2,-7,-4,-3,-3,-10,32,0,0,32,15,0,0,15,10,0,0,10
DouDizhuPoker_DefaultOrganization_20250915221401,0,Coding,Programmer,Chief Technology Officer,2025-15-09 22:19:22,6,1139,33,17,4,54,107,1,0,108,715,18181,5248,18896,0.182704,6,4,3,2,9,-29,-14,-2,-45,-30,-13,-2,-45,30,2,0,32,-77,1,0,-76,-83,1,0,-82
DouDizhuPoker_DefaultOrganization_20250915221401,1,CodeReviewModification,Programmer,Code Reviewer,2025-15-09 22:26:15,6,1172,34,16,4,54,113,1,0,114,13349,15942,3072,29291,0.176106,6,4,3,2,9,-29,-14,-2,-45,-30,-13,-2,-45,30,2,0,32,-77,1,0,-76,-83,1,0,-82
DouDizhuPoker_DefaultOrganization_20250915221401,2,CodeReviewModification,Programmer,Code Reviewer,2025-15-09 22:32:23,6,1169,34,16,4,54,113,1,0,114,13782,14801,1920,28583,0.165238,6,4,3,2,9,-29,-14,-2,-45,-30,-13,-2,-45,30,2,0,32,-77,1,0,-76,-83,1,0,-82
DouDizhuPoker_DefaultOrganization_20250915221401,3,CodeReviewModification,Programmer,Code Reviewer,2025-15-09 22:39:55,6,1173,34,16,4,54,113,1,0,114,13892,14477,1536,28369,0.162135,6,4,3,2,9,-29,-14,-2,-45,-30,-13,-2,-45,30,2,0,32,-77,1,0,-76,-83,1,0,-82
DouDizhuPoker_DefaultOrganization_20250915221401,4,EnvironmentDoc,Programmer,Chief Technology Officer,2025-15-09 22:40:18,6,0,34,16,4,54,113,1,0,114,13431,821,768,14252,0.024999,6,4,3,2,9,-29,-14,-2,-45,-30,-13,-2,-45,30,2,0,32,-77,1,0,-76,-83,1,0,-82
DouDizhuPoker_DefaultOrganization_20250915221401,5,Reflection,Chief Executive Officer,Counselor,2025-15-09 22:40:34,6,1173,34,16,4,54,113,1,0,114,13793,624,576,14417,0.023481,6,4,3,2,9,-29,-14,-2,-45,-30,-13,-2,-45,30,2,0,32,-77,1,0,-76,-83,1,0,-82
EpisodeChooseYourStory_DefaultOrganization_20250923172502,0,Coding,Programmer,Chief Technology Officer,2025-23-09 17:27:17,5,760,7,12,5,24,10,0,0,10,651,10439,3328,11090,0.105204,5,0,0,2,2,-7,-12,-3,-22,-7,-13,-3,-23,6,0,0,6,-4,0,0,-4,-7,0,0,-7
EpisodeChooseYourStory_DefaultOrganization_20250923172502,1,CodeComplete,Programmer,Chief Technology Officer,2025-23-09 17:30:32,5,760,7,12,5,24,10,0,0,10,7026,7375,832,14401,0.082532,5,0,0,2,2,-7,-12,-3,-22,-7,-13,-3,-23,6,0,0,6,-4,0,0,-4,-7,0,0,-7
